date_scraping,channel_name,channel_subscribers_number,title_video,hashtags_video,visualizations_video,date_upload_video,day_of_week_upload_video,converted_date_upload_video,likes_video,count_comments,username,comment_text,comment_text_and_emojis_used,date_comment,likes_comment,converted_date_comment,day_of_week_comment
0,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",PelucheEn ElEstuche,"Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s","['Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s', []]",9 days ago,813,2023-02-02 19:11:24,Thursday
1,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Leo Clonied,"Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada","['Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada', []]",9 days ago,5000,2023-02-02 19:11:24,Thursday
2,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Antonio Esparza,"En la intro parece que va a estar perra la entrevista, pero a la mera hora se pone todo suavecito y de bajada.","['En la intro parece que va a estar perra la entrevista, pero a la mera hora se pone todo suavecito y de bajada.', []]",6 days ago,941,2023-02-05 19:11:24,Sunday
3,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Fernando Gutiérrez Urzúa,Me recuerda a los influencers hablando bien del partido verde en la campaña anterior.,"['Me recuerda a los influencers hablando bien del partido verde en la campaña anterior.', []]",5 days ago,1000,2023-02-06 19:11:24,Monday
4,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",ViKtoR,Próximamente el escorpión en las mañaneras en primera fila junto a lord molécula ,"['Próximamente el escorpión en las mañaneras en primera fila junto a lord molécula ', ['😂', '😂', '😂']]",3 days ago,173,2023-02-08 19:11:24,Wednesday
5,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Fab Morningstar,Nada como una entrevista a modo para iniciar el finde,"['Nada como una entrevista a modo para iniciar el finde', []]",6 days ago,1000,2023-02-05 19:11:24,Sunday
6,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",LeOn047,"Cuando hay “mucha hambre”, la dignidad desaparece! Bien ahí Escorpión!","['Cuando hay “mucha hambre”, la dignidad desaparece! Bien ahí Escorpión!', []]",3 days ago,134,2023-02-08 19:11:24,Wednesday
7,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Jorge Castillo,Próximamente el escorpion en las mañaneras en primera fila junto a lord molécula,"['Próximamente el escorpion en las mañaneras en primera fila junto a lord molécula', []]",8 days ago,1900,2023-02-03 19:11:24,Friday
8,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Claudio Ramirez,Al rato vamos a ver a Alex Montiel en el gabinete de Claudia. Recuerden que es un 98% de lealtad y un 2% de capacidad,"['Al rato vamos a ver a Alex Montiel en el gabinete de Claudia. Recuerden que es un 98% de lealtad y un 2% de capacidad', []]",6 days ago,694,2023-02-05 19:11:24,Sunday
9,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Flavio Victorio,"Hay papá nos entró un chingo de lana, es todo mi chingon ","['Hay papá nos entró un chingo de lana, es todo mi chingon ', ['😅', '😂', '😂']]",4 days ago,153,2023-02-07 19:11:24,Tuesday
